Name,Ticker,"Sub-Sector","Market Cap","Close Price","% From Upper Bollinger Band","% From Lower Bollinger Band","Super Trend","RSI Exponential – 14D","Volatility","Volatility vs Nifty","Alpha","Sharpe Ratio","Beta","1W Return","1W Return vs Nifty","1M Return","1M Return vs Nifty","6M Return","6M Return vs Nifty","1Y Return","1Y Return vs Nifty"
ICICI Prudential Nifty 100 ETF,NIF100IETF,"Equity","19.229981756999997","249.03","-1.7405408671282998","2.5311388278103997","243.99928571428572","53.4166990795834","10.924614409671394","0.9948993056837985","7.08291696751376","0.002887851042363","0.621174017724023","-0.18148820326678308","-0.5147708328394932","0.008081461128176108","0.5513481276448138","15.591347939101377","3.278299157063943","34.40738341968912","5.577632779818327"
Nippon India ETF Nifty Infrastructure BeES,INFRABEES,"Equity","18.095091273","843.76","-1.7246911319763","2.7093321135628","815.5907142857144","55.6599041266266","13.349092553428484","1.215695347668957","5.69421055175891","0.018114824755042","0.948082259575103","0.27359944563255995","-0.05968318394015021","-0.05596903840429024","0.48729762811234745","31.695515772058236","19.382466990020802","58.83737128442611","30.00762064455532"
Aditya BSL Silver ETF,SILVER,"Equity","17.228399595","75.11","-3.3301530254733","8.8681947904701","73.47785714285715","59.6896460945368","17.672997708368584","1.6094712810954164",,,,"-0.13333333333332575","-0.4666159629060359","4.1869522882181185","4.730218954734756","0.8187919463087241","-11.49425683572871","7.715473971031113","-21.11427666883968"
ICICI Prudential Nifty Healthcare ETF,HEALTHIETF,"Equity","17.1837348","120.62","-4.517109065884","1.8313924273902","127.54785714285714","42.3768694489861","13.94009583898187","1.269517728615727",,,,"-2.2831814000167183","-2.6164640295894284","-4.892144892144885","-4.348878225628248","25.75062552126773","13.437576739230295","59.38160676532769","30.551856125456897"
ICICI Prudential Nifty Auto ETF,AUTOIETF,"Equity","17.035611191999998","21.37","-5.6273575291815","0.8770613177951","20.026","32.5768191021652","14.747545965346223","1.3430518177807427",,,,"1.495417269657495","1.1621346400847847","908.2906023865434","908.83386905306","29.648728993508467","17.335680211471033","73.00841968911918","44.178669049248384"
SBI Nifty Consumption ETF,SBIETFCON,"Equity","16.390346702","101.9","-3.4799152510452998","0.8289270760584","95.265","36.7900956142135","12.295274592919696","1.119724660017122",,,,"-2.0628781116731116","-2.3961607412458217","-2.7764103573889862","-2.2331436908723488","18.392006506332073","6.078957724294639","41.13573407202217","12.305983432151375"
DSP Nifty Midcap 150 Quality 50 ETF,MIDQ50ADD,"Equity","16.197496464","205.49","-2.0393151836982","0.8571565158882","216.99714285714285","41.9177293290935","13.842716496410649","1.2606494393856482",,,,"-0.13664535649797527","-0.4699279860706854","-2.71927739481816","-2.176010728301522","7.400825798358854","-4.91222298367858","32.13091563786008","3.301164997989286"
HDFC Nifty50 Value 20 ETF,HDFCVALUE,"Equity","15.966448","124.59","-2.7149860633748","2.9681271301206","120.56785714285715","48.6802302686274","20.18002875986603","1.8377853761223693",,,,"-4.528330898746819","-4.861613528319529","-0.6559999999999946","-0.1127333334833569","17.482319660537488","5.169270878500054","38.0651595744681","9.235408934597306"
Tata Nifty India Digital Exchange Traded Fund,TNIDETF,"Equity","15.501888424","78.64","-3.4307412805218","2.1622342366117002","76.54714285714286","40.8882005274294","14.640466115073911","1.3333001080458584",,,,"0.2675500063702484","-0.06573262320246176","-0.266125966290703","0.2771407002259347","18.291215403128753","5.978166621091319","46.11668524712003","17.28693460724924"
HDFC Nifty 100 ETF,HDFCNIF100,"Equity","15.224317124999999","22.94","-1.0130328138689","3.2519988221222","21.550714285714285","59.8905280156703","18.42412972684103","1.6778765076445141",,,,"-1.5099223468507394","-1.8432049764234497","-0.26212319790302435","0.28114346861361333","15.490222317696329","3.177173535658895","33.517931561260426","4.688180921389634"
Kotak Nifty Midcap 50 ETF,MIDCAP,"Equity","15.187976201999998","135.79","-2.4094462208082","3.1510677437283","143.54642857142858","55.3773054855941","14.721018160146421","1.3406359435004356",,,,"0.33763945977684934","0.004356830204139184","-2.932613789675512","-2.389347123158874","16.708207993124194","4.39515921108676","59.56521739130435","30.73546675143356"
Mirae Asset Hang Seng TECH ETF,MAHKTECH,"Equity","14.354740188","12.38","-7.919608251496","28.890530189478604","13.052857142857144","58.520367008885","22.567536517628742","2.055214543087746",,,,"-0.7861635220125898","-1.1194461515852998","-0.39463299131807983","0.14863367519855786","-13.122807017543854","-25.43585579958129","-11.44492131616595","-40.27467195603674"
ICICI Prudential Nifty50 Value 20 ETF,NV20IETF,"Equity","13.801773789","13.49","-1.3846164907617","3.0287774859242997","13.12414285714286","59.192142314001","12.225633128202302","1.1133824457937258","10.9608703007513","0.036626942849021","0.551866512619589","-0.7309941520467811","-1.0642767816194914","885.7008056906437","886.2440723571603","16.89774696707105","4.584698185033616","36.20759289176088","7.37784225189009"
ICICI Prudential Nifty India Consumption ETF,CONSUMIETF,"Equity","13.10207943","101.55","-3.4201786104194","0.8506490030324001","96.74428571428571","34.2011720789427","12.487462140011251","1.1372270861890872",,,,"3.513675384308241","3.180392754735531","1.6666666666666694","2.209933333183307","17.2497402147558","4.936691432718366","40.28180687940323","11.452056239532435"
DSP Nifty 50 ETF,NIFTY50ADD,"Equity","12.801381996","226.57","-1.331345042499","3.4735930938958","232.01999999999998","61.7950210260268","29.180374675824623","2.6574424886675945",,,,"-0.5999911766003376","-0.9332738061730478","-0.3714348883484428","0.1718317781681949","12.665340626553954","0.35229184451651996","30.190197092455318","1.360446452584526"
HDFC Nifty Private Bank ETF,HDFCPVTBAN,"Equity","12.781170502","23.84",,,"24.721428571428568",,"16.648344324552916","1.5161565972176698",,,,"1.7979452054794594","1.464662575906749","-0.5020920502091943","0.041174616307443346","2.365923826699293","-9.947124955338142","15.987155784762079","-12.842594855108713"
Aditya BSL S&P BSE Sensex ETF,BSLSENETFG,"Equity","12.67263724","71.42","-1.5362829449488","2.9238962547331","68.45285714285716","56.4705602578462","12.38558458511701","1.1279491469568053",,,,"-0.6016510423954003","-0.9349336719681105","0.0845308537616262","0.6277975202782639","10.935073004038532","-1.377975777998902","26.45184135977338","-2.3779092800974126"
Nippon IN ETF Nifty 8-13 yr G-Sec Long Term Gilt,LTGILTBEES,"Debt","12.591982437999999","25.48","-0.6054489905798","1.8023070828241","25.072142857142854","62.6708281580806","1.4169822099266642","0.12904387870882641","4.41144492080075","-0.071457502660916","-0.020542372843953","-0.07864726700746981","-0.41192989658018","0.47449584816133256","1.0177625146779703","4.084967320261438","-8.228081461775997","8.9354424967935","-19.89430814307729"
Quantum Nifty 50 ETF,QNIFTY,"Equity","12.214835948","2366.05","-1.6141993634536","3.1854818943573995","2323.3935714285717","57.5696990911158","10.553518654143316","0.9611037962340334","2.15295611347136","0.022268006150822","1.02870359177737","-0.6779689744448071","-1.0112516040175172","-0.7620692720968337","-0.21880260558019604","12.56184586108469","0.24879707904725556","30.147196338793613","1.3174456989228212"
Motilal Oswal S&P BSE Low Volatility ETF,MOLOWVOL,"Equity","12.120252429999999","34.79","-0.8566762372804","3.0007114726043","33.199285714285715","57.562155009738","17.98197513666528","1.6376097047831406",,,,"-1.3120365088419874","-1.6453191384146977","-0.6603502727533646","-0.11708360623672687","21.728481455563337","9.415432673525903","44.59684123025769","15.767090590386896"
Kotak Nifty Alpha 50 ETF,ALPHA,"Equity","11.560360832","44.03","-2.7707650947819","1.2064984196628","46.65642857142857","44.7353059691024","15.699567244697514","1.429751931332054",,,,"1.0824504836480857","0.7491678540753756","-1.987494417150515","-1.4442277506338772","27.438494934877006","15.125446152839572","74.79158396188963","45.96183332201883"
Kotak Nifty 100 Low Volatility 30 ETF,LOWVOL1,"Equity","11.309675944999999","18.46","-2.6741659510622","3.7773241758567","17.65714285714286","51.507867780463","19.6517299919203","1.7896734650092863",,,,"-0.6507592190889424","-0.9840418486616526","-0.7046070460704553","-0.16134037955381764","19.173660426081348","6.860611644043914","41.0236822001528","12.193931560282007"
Nippon India ETF Nifty 100,NIF100BEES,"Equity","11.262924036","236.91","-1.5569247151488002","2.8224057577379","228.54357142857148","55.8744290776668","10.469518711973048","0.9534539624725146","4.3530531917907","0.000318450932821","0.773812785083228","0.00847888756995516","-0.32480374200275497","-0.12701100762065323","0.4162556588959845","15.515139694768147","3.2020909127307124","33.70393363056606","4.874182990695271"
Nippon India ETF Hang Seng BeES,HNGSNGBEES,"Equity","10.982502","244.15","-5.8879148517113995","20.5001358215639","239.64","56.6922768195699","19.11337088104416","1.7406453633725778","-10.8456277708381","-0.112266197762882","0.266555703158957","-0.7801504001286838","-1.113433029701394","0.2926710296329413","0.835937696149579","-8.503222905111667","-20.8162716871491","-12.996222649846768","-41.82597328971756"
Motilal Oswal Nasdaq Q50 ETF,MONQ50,"Equity","10.8938445","62.27","-1.4910346931037","7.8840460699145005","57.88","65.8175238800434","11.887164869473892","1.0825583065630735",,,,"-0.8068420203324189","-1.140124649905129","4.576386526029258","5.119653192545895","16.9829043772309","4.669855595193464","17.71266540642723","-11.11708523344356"
HDFC Nifty100 Quality 30 ETF,HDFCQUAL,"Equity","10.5760902","51.46","-1.8340466076069002","2.0612227158128","49.49785714285714","51.4492256402463","16.697149480288527","1.5206012589452418",,,,"-0.3832886163281005","-0.7165712459008107","0.8145849495733022","1.3578516160899399","13.799203892083154","1.4861551100457202","34.81791983232905","5.988169192458262"
HDFC Nifty Growth Sectors 15 ETF,HDFCGROWTH,"Equity","9.508923105","110.62","-3.5795762527694","1.5580967887838","108.2042857142857","45.8849317574832","13.680242299772527","1.2458529935464524",,,,"-1.83185840707964","-2.1651410366523502","-1.5093669537423322","-0.9661002872256945","10.09156050955414","-2.2214882724832936","30.37124337065411","1.5414927307833182"
HDFC Nifty NEXT 50 ETF,HDFCNEXT50,"Equity","8.575619","59.77","-1.5966755928926002","2.2383315663772","56.40285714285714","52.3646537283597","18.280911557341067","1.664833698804444",,,,"-0.4017408771342517","-0.7350235067069619","1.121685927940171","1.6649525944568087","31.361788873509305","19.04874009147187","56.075076360716785","27.245325720845994"
UTI S&P BSE Sensex Next 50 Exchange Traded Fund,UTISXN50,"Equity","8.33829663","73.5","-2.8026035634626","1.5792829358723999","71.03642857142857","46.9368374749682","21.90158422500936","1.9945665926247067","12.6925612185337","0.026148773974396","0.594532635571482","2.047222601337519","1.713939971764809","1.2046561992420148","1.7479228657586525","23.674911660777386","11.361862878739952","51.76543464794549","22.9356840080747"
Axis Silver ETF,AXISILVER,"Equity","7.8703070319999995","75.09","-3.6211725539349002","8.801745593582599","72.70214285714285","56.3654480897074","17.973966605797013","1.6368803717832194",,,,"1.3762693746659556","1.0429867450932453","5.375000000000006","5.918266666516644","1.2267457535723867","-11.086303028465048","6.752914415695194","-22.076836224175597"
HDFC Nifty200 Momentum 30 ETF,HDFCMOMENT,"Equity","6.758470765","30.33","-4.0475895501432","4.9665164579288","29.236428571428572","51.4778037811056","19.786668894262988","1.8019622850276502",,,,"0.29811195760185444","-0.035170671970855716","0.3646005966191562","0.9078672631357939","32.469717826182794","20.15666904414536","67.24521002790621","38.415459388035416"
ICICI Prudential Nifty Infrastructure ETF,INFRAIETF,"Equity","6.324786144","83.1","-1.453881082451","3.1897743996286","87.49714285714286","63.7530043054154","13.599586717653791","1.238507729023577",,,,"2.5612879619465896","2.2280053323738795","1.6193353474320282","2.162602013948666","32.03050524308865","19.717456461051214","59.715548721891196","30.885798082020404"
Motilal Oswal S&P BSE Enhanced Value ETF,MOVALUE,"Equity","6.174690856","90.07","-2.5823419315525","8.3862942375623","98.79","67.7882302660921","24.34887955846282","2.21744058494617",,,,"0.14526762766790666","-0.1880150019048035","-4.54787517307487","-4.004608506558233","40.492902823272495","28.17985404123506","86.86721991701242","58.037469277141625"
ADITYA BSL Nifty 200 Momentum 30 ETF,MOMENTUM,"Equity","6.166183576","30.57","-3.3956496513317003","1.5466110033924","29.345714285714287","46.0553371054271","16.323959204822483","1.486615002586352",,,,"0.4950495049504903","0.16176687537778017","1.2637179913535053","1.806984657870143","33.08663474096648","20.773585958929047","67.96703296703296","39.13728232716217"
Motilal Oswal S&P BSE Quality ETF,MOQUALITY,"Equity","5.722810688","173.12","-2.6845096158575","2.0795819162648","180.30142857142852","41.4809689585343","16.564962150671626","1.5085630233129046",,,,"-1.0290697674418665","-1.3623523970145768","-1.6125303433129234","-1.0692636767962858","25.997088791848615","13.68404000981118","51.43456962911128","22.60481898924049"
Motilal Oswal S&P BSE Healthcare ETF,MOHEALTH,"Equity","5.7107817","34.76","-3.9161844097374","2.3744630669633002","33.239999999999995","46.3483938189436","22.788274879858793","2.075317078068389",,,,"2.5418833044483033","2.2086006748755933","-0.7270693512304195","-0.1838026847137818","24.364937388193198","12.051888606155764","59.30339138405132","30.473640744180525"
HDFC Nifty100 Low Volatility 30 ETF,HDFCLOWVOL,"Equity","5.647267751999999","18.17","-1.5915055103770999","6.4563296231883","17.017142857142858","60.5497023931554","23.290036450544378","2.1210122595708105",,,,"-4.488912925905886","-4.822195555478596","-2.860286028602858","-2.3170193620862207","19.230948647378206","6.917899865340772","36.11984247389911","7.2900918340283205"
Kotak Nifty MNC ETF,MNC,"Equity","5.40821454","25.71","-1.6260058475633998","2.2789482753083","24.65","52.608347411978","16.13083599135039","1.4690273657334934",,,,"0.7039499413375038","0.3706673117647936","2.87654814222932","3.419814808745958","15.96752368064952","3.6544748986120865","35.88794926004228","7.058198620171485"
Kotak Nifty India Consumption ETF,CONS,"Equity","5.369101517","101.19","-5.1191933794806","3.4056125728571","96.93928571428572","48.8970499786338","14.230930784021242","1.2960039252024091",,,,"-0.5183413078149881","-0.8516239373876983","0.15052684395382987","0.6937935104704676","18.628370457209847","6.315321675172413","41.62351294611616","12.793762306245366"
ADITYA BSL Nifty 200 Quality 30 ETF,NIFTYQLITY,"Equity","5.3081630099999995","18.78","-1.7176967484071","1.3887319631317","18.02857142857143","49.8295391431462","12.139892000783227","1.105574043140881",,,,"-2.3170089520800303","-2.6502915816527404","-2.2140221402213927","-1.670755473704755","11.985688729874786","-0.3273600521626481","34.23874195854182","5.408991318671031"
Nippon India ETF Nifty 50 Shariah BeES,SHARIABEES,"Equity","3.899409808","491.6","-1.4040321822749","3.7155557674607","486.9671428571429","60.046073572563","14.855963992094805","1.35292539459461","10.4544182743974","0.024635765917063","0.369551236741976","-3.147908581285037","-3.481191210857747","-3.567525370804054","-3.0242587042874165","10.095852369434748","-2.2171964126026857","26.913643991222408","-1.916106648648384"
Edelweiss Nifty 50 ETF,NIFTYEES,"Equity","3.5215454999999998","20100","-0.9923754222373999","0.5681837080502","19722.125714285714","52.0236573743197","0","0","29.1156313092923","0.111248485696195","0.868868770089987","0","1.0670674632677404","0","-1.8703530318885198","0","-12.249591882559276","0","-5.59318598949012"
